date	AAPL	SPY	TSLA	SBUX	MSFT	NVDA
2023-09-29	169.54928588867188	417.8656311035156	250.22000122070312	86.7984619140625	311.06231689453125	43.475826263427734
2023-10-31	169.11355590820312	408.7943420410156	200.83999633789062	87.720947265625	333.09039306640625	40.758277893066406
2023-11-30	188.35531616210938	446.1352233886719	240.0800018310547	94.95398712158203	374.042236328125	46.74508285522461
2023-12-29	190.91366577148438	466.503662109375	248.47999572753906	91.8079833984375	371.2091369628906	49.49997329711914
2024-01-31	182.85191345214844	473.93341064453125	187.2899932861328	88.95840454101562	392.4723815917969	61.499637603759766
2024-02-29	179.46128845214844	498.66650390625	201.8800048828125	91.29252624511719	409.08123779296875	79.07681274414062
2024-03-28	170.2573699951172	514.973876953125	175.7899932861328	87.91595458984375	416.0831604003906	90.3200454711914
2024-04-30	169.1155548095703	494.2102966308594	183.27999877929688	85.12619018554688	385.03912353515625	86.36763000488281
2024-05-31	191.13816833496094	519.2073364257812	178.0800018310547	77.75605773925781	411.2953186035156	109.5893783569336
2024-06-28	209.40191650390625	537.5250244140625	197.8800048828125	75.4588394165039	442.82135009765625	123.50098419189453
2024-07-31	220.795654296875	544.0339965820312	232.07000732421875	75.5557632446289	414.4855651855469	116.9830322265625
2024-08-30	227.93917846679688	556.74560546875	214.11000061035156	92.21931457519531	414.03167724609375	119.33230590820312
2024-09-30	231.92063903808594	568.4398803710938	261.6300048828125	95.06672668457031	427.0935974121094	121.41203308105469
2024-10-31	224.8634796142578	563.367431640625	249.85000610351562	95.27149963378906	403.3220520019531	132.72943115234375
2024-11-29	236.490478515625	596.9629516601562	345.1600036621094	100.53118896484375	421.1458435058594	138.21817016601562
2024-12-31	249.5341796875	582.5999145507812	403.8399963378906	89.53221893310547	419.1965637207031	134.26832580566406
2025-01-31	235.16519165039062	598.2463989257812	404.6000061035156	105.65292358398438	412.791748046875	120.05062103271484
2025-02-28	241.24948120117188	590.6517944335938	292.9800109863281	114.24659729003906	395.6121520996094	124.89983367919922
2025-03-31	221.58761596679688	557.7411499023438	259.1600036621094	96.76581573486328	374.087158203125	108.37247467041016
2025-04-30	211.9811248779297	552.9054565429688	282.1600036621094	78.96935272216797	393.88818359375	108.91243743896484
2025-05-30	200.622314453125	587.6527709960938	346.4599914550781	83.39971160888672	459.60443115234375	135.12062072753906
2025-06-30	204.93740844726562	617.8499755859375	317.6600036621094	91.02937316894531	496.5936584472656	157.99000549316406
2025-07-31	207.33470153808594	632.0800170898438	308.2699890136719	88.57556915283203	532.6243896484375	177.8699951171875
2025-08-29	232.13999938964844	645.0499877929688	333.8699951171875	88.19000244140625	506.69000244140625	174.17999267578125
